soft lo-fi jazz groove, electric piano, upright bass, brushed drums, warm and late-night
downtempo soul instrumental, electric piano, subtle pad, bass guitar, dreamy and soft
lo-fi jazz mood, Rhodes, brushed drums, upright bass, quiet and warm
gentle soul groove, clean guitar, electric piano, muted bass, easy and tender
mellow jazzhop atmosphere, dusty keys, round bass, soft drums, hazy and reflective
soft lounge jazz, piano, upright bass, brushed ride, cozy and elegant
chill neo-soul beat, Rhodes, bass guitar, light percussion, warm and understated
lo-fi night drive instrumental, electric piano, clean guitar, bass guitar, smooth and calm
mellow soul-jazz groove, Rhodes, upright bass, soft drums, intimate and warm
soft rainy-day jazz, piano, upright bass, brushes, reflective and gentle
chill downtempo groove, electric piano, muted guitar, warm bass, dreamy and minimal
mellow after-hours soul, Rhodes, bass guitar, subtle pad, late-night and relaxed
lo-fi jazz session, dusty piano, upright bass, brushed snare, smoky and soft
gentle neo-soul instrumental, clean guitar, Rhodes, round bass, warm and sweet
chill café soul, electric piano, bass guitar, light drums, cozy and easy
mellow jazzhop loop, Rhodes, upright bass, dusty kit, hazy and smooth
soft lounge soul, electric piano, clean guitar, warm bass, intimate and mellow
lo-fi jazz ballad feel, piano, upright bass, brushes, quiet and tender
mellow neo-soul pocket, Rhodes, muted bass, minimal drums, warm and steady
chill soul instrumental, clean guitar, electric piano, bass guitar, soft and reflective
soft jazzhop beat, dusty Rhodes, upright bass, brushed drums, late-night and calm
warm downtempo jazz, piano, round bass, light percussion, smooth and sleepy
mellow lounge groove, Rhodes, clean guitar, bass guitar, relaxed and dim
gentle evening jazzhop, electric piano, muted bass, soft drums, nostalgic and warm
chill neo-soul sketch, Rhodes, subtle pad, bass guitar, dreamy and intimate
lo-fi jazz room vibe, piano, upright bass, brushed kit, cozy and thoughtful
mellow instrumental groove, electric piano, clean guitar, round bass, soft and floating
warm late-night soul, Rhodes, bass guitar, gentle drums, tender and calm
soft jazz trio mood, piano, upright bass, brushes, understated and elegant
chill lo-fi soul, electric piano, muted guitar, warm bass, hazy and relaxed
mellow jazzhop pulse, Rhodes, upright bass, dusty snare, reflective and smooth
gentle neo-soul lounge, clean guitar, bass guitar, soft keys, warm and dreamy
lo-fi café instrumental, piano, upright bass, brushed drums, rainy and cozy
mellow rooftop groove, Rhodes, bass guitar, light percussion, airy and warm
chill soul-jazz instrumental, electric piano, clean guitar, muted bass, soft and easy
late-night jazzhop mood, dusty keys, upright bass, soft drum groove, intimate and hazy
warm neo-soul instrumental, Rhodes, subtle pad, bass guitar, smooth and tender
soft jazz lounge, piano, upright bass, brushed cymbals, calm and dimly lit
mellow lo-fi groove, electric piano, round bass, gentle drums, nostalgic and soft
chill soul beat, clean guitar, Rhodes, bass guitar, warm and understated
gentle after-hours jazz, piano, upright bass, brushes, smoky and slow
mellow downtempo soul, electric piano, muted guitar, warm bass, dreamy and relaxed
lo-fi jazzhop instrumental, Rhodes, upright bass, dusty kit, cozy and reflective
soft neo-soul night mood, clean guitar, bass guitar, subtle keys, intimate and warm
chill lounge instrumental, electric piano, bass guitar, light drums, smooth and floating
mellow soul-jazz room, Rhodes, upright bass, soft percussion, tender and calm
warm rainy-night jazz, piano, upright bass, brushed snare, quiet and thoughtful
soft lo-fi soul groove, electric piano, muted bass, light drums, hazy and warm
mellow jazzhop trio, Rhodes, upright bass, brushed drums, intimate and easy
chill neo-soul instrumental, clean guitar, electric piano, round bass, smooth and cozy
gentle lounge jazz, piano, upright bass, soft cymbals, elegant and calm
mellow downtempo groove, Rhodes, bass guitar, subtle pad, dreamy and late-night
lo-fi café soul, electric piano, clean guitar, warm bass, relaxed and soft
warm jazz room instrumental, piano, upright bass, brushes, smoky and intimate
chill soul sketch, Rhodes, muted guitar, bass guitar, tender and minimal
mellow jazzhop atmosphere, dusty electric piano, upright bass, soft drums, nostalgic and gentle
soft neo-soul pocket, clean guitar, Rhodes, warm bass, smooth and sleepy
late-night lo-fi jazz, piano, upright bass, brushed kit, calm and reflective
mellow soul lounge, electric piano, bass guitar, light percussion, warm and understated
chill jazzhop loop, Rhodes, muted bass, dusty drums, hazy and cozy
gentle neo-soul instrumental, clean guitar, subtle pad, bass guitar, dreamy and intimate
warm after-hours jazz, piano, upright bass, brushes, soft and elegant
mellow downtempo soul, Rhodes, bass guitar, gentle drums, relaxed and tender
lo-fi rooftop jazz, electric piano, upright bass, brushed snare, airy and warm
chill lounge soul, clean guitar, Rhodes, round bass, smooth and dimly lit
soft jazzhop night vibe, dusty keys, muted bass, light drums, calm and nostalgic
mellow neo-soul jazz instrumental, electric piano, clean guitar, warm bass, late-night and cozy
