soft lo-fi jazz groove, electric piano, upright bass, brushed drums, warm and late-night
downtempo soul instrumental, electric piano, subtle pad, bass guitar, dreamy and soft
lo-fi jazz mood, Rhodes, brushed drums, upright bass, quiet and warm
gentle soul groove, clean guitar, electric piano, muted bass, easy and tender
mellow jazzhop atmosphere, dusty keys, round bass, soft drums, hazy and reflective
soft lounge jazz, piano, upright bass, brushed ride, cozy and elegant
chill neo-soul beat, Rhodes, bass guitar, light percussion, warm and understated
lo-fi night drive instrumental, electric piano, clean guitar, bass guitar, smooth and calm
mellow soul-jazz groove, Rhodes, upright bass, soft drums, intimate and warm
soft rainy-day jazz, piano, upright bass, brushes, reflective and gentle
chill downtempo groove, electric piano, muted guitar, warm bass, dreamy and minimal
mellow after-hours soul, Rhodes, bass guitar, subtle pad, late-night and relaxed
lo-fi jazz session, dusty piano, upright bass, brushed snare, smoky and soft
gentle neo-soul instrumental, clean guitar, Rhodes, round bass, warm and sweet
chill café soul, electric piano, bass guitar, light drums, cozy and easy
mellow jazzhop loop, Rhodes, upright bass, dusty kit, hazy and smooth
soft lounge soul, electric piano, clean guitar, warm bass, intimate and mellow
lo-fi jazz ballad feel, piano, upright bass, brushes, quiet and tender
mellow neo-soul pocket, Rhodes, muted bass, minimal drums, warm and steady
chill soul instrumental, clean guitar, electric piano, bass guitar, soft and reflective
soft jazzhop beat, dusty Rhodes, upright bass, brushed drums, late-night and calm
warm downtempo jazz, piano, round bass, light percussion, smooth and sleepy
mellow lounge groove, Rhodes, clean guitar, bass guitar, relaxed and dim
gentle evening jazzhop, electric piano, muted bass, soft drums, nostalgic and warm
chill neo-soul sketch, Rhodes, subtle pad, bass guitar, dreamy and intimate
lo-fi jazz room vibe, piano, upright bass, brushed kit, cozy and thoughtful
mellow instrumental groove, electric piano, clean guitar, round bass, soft and floating
warm late-night soul, Rhodes, bass guitar, gentle drums, tender and calm
soft jazz trio mood, piano, upright bass, brushes, understated and elegant
chill lo-fi soul, electric piano, muted guitar, warm bass, hazy and relaxed
mellow jazzhop pulse, Rhodes, upright bass, dusty snare, reflective and smooth
gentle neo-soul lounge, clean guitar, bass guitar, soft keys, warm and dreamy
lo-fi café instrumental, piano, upright bass, brushed drums, rainy and cozy
mellow rooftop groove, Rhodes, bass guitar, light percussion, airy and warm
chill soul-jazz instrumental, electric piano, clean guitar, muted bass, soft and easy
late-night jazzhop mood, dusty keys, upright bass, soft drum groove, intimate and hazy
warm neo-soul instrumental, Rhodes, subtle pad, bass guitar, smooth and tender
soft jazz lounge, piano, upright bass, brushed cymbals, calm and dimly lit
mellow lo-fi groove, electric piano, round bass, gentle drums, nostalgic and soft
chill soul beat, clean guitar, Rhodes, bass guitar, warm and understated
gentle after-hours jazz, piano, upright bass, brushes, smoky and slow
mellow downtempo soul, electric piano, muted guitar, warm bass, dreamy and relaxed
lo-fi jazzhop instrumental, Rhodes, upright bass, dusty kit, cozy and reflective
soft neo-soul night mood, clean guitar, bass guitar, subtle keys, intimate and warm
chill lounge instrumental, electric piano, bass guitar, light drums, smooth and floating
mellow soul-jazz room, Rhodes, upright bass, soft percussion, tender and calm
warm rainy-night jazz, piano, upright bass, brushed snare, quiet and thoughtful
soft lo-fi soul groove, electric piano, muted bass, light drums, hazy and warm
mellow jazzhop trio, Rhodes, upright bass, brushed drums, intimate and easy
chill neo-soul instrumental, clean guitar, electric piano, round bass, smooth and cozy
gentle lounge jazz, piano, upright bass, soft cymbals, elegant and calm
mellow downtempo groove, Rhodes, bass guitar, subtle pad, dreamy and late-night
lo-fi café soul, electric piano, clean guitar, warm bass, relaxed and soft
warm jazz room instrumental, piano, upright bass, brushes, smoky and intimate
chill soul sketch, Rhodes, muted guitar, bass guitar, tender and minimal
mellow jazzhop atmosphere, dusty electric piano, upright bass, soft drums, nostalgic and gentle
soft neo-soul pocket, clean guitar, Rhodes, warm bass, smooth and sleepy
late-night lo-fi jazz, piano, upright bass, brushed kit, calm and reflective
mellow soul lounge, electric piano, bass guitar, light percussion, warm and understated
chill jazzhop loop, Rhodes, muted bass, dusty drums, hazy and cozy
gentle neo-soul instrumental, clean guitar, subtle pad, bass guitar, dreamy and intimate
warm after-hours jazz, piano, upright bass, brushes, soft and elegant
mellow downtempo soul, Rhodes, bass guitar, gentle drums, relaxed and tender
lo-fi rooftop jazz, electric piano, upright bass, brushed snare, airy and warm
chill lounge soul, clean guitar, Rhodes, round bass, smooth and dimly lit
soft jazzhop night vibe, dusty keys, muted bass, light drums, calm and nostalgic
mellow neo-soul jazz instrumental, electric piano, clean guitar, warm bass, late-night and cozysoft twilight soul groove, Wurlitzer, fretless bass, brushed drums, mellow and drifting
late-night jazz lounge, upright piano, muted trumpet, upright bass, smoky and intimate
chill neo-soul instrumental, Rhodes, nylon guitar, bass guitar, warm and unhurried
lo-fi downtempo jazz, dusty piano, brushed kit, double bass, reflective and calm
gentle rooftop groove, electric piano, clean guitar, soft congas, airy and warm
mellow soul sketch, Hammond organ, bass guitar, light drums, tender and sleepy
cozy jazz trio mood, piano, upright bass, brushed snare, rainy and soft
dreamy jazzhop instrumental, Rhodes, muted bass, dusty breakbeat, hazy and smooth
soft after-hours soul, electric piano, tremolo guitar, round bass, late-night and relaxed
chill café jazz, upright piano, brushed cymbals, bass guitar, thoughtful and cozy
warm neo-soul pocket, Rhodes, soft synth pad, bass guitar, intimate and floating
smoky lounge instrumental, piano, upright bass, brushed drums, elegant and dim
mellow lo-fi soul, Wurlitzer, clean guitar, muted bass, nostalgic and easy
gentle midnight jazz, Rhodes chords, upright bass, light ride cymbal, soft and reflective
downtempo soul instrumental, electric piano, nylon guitar, subtle percussion, dreamy and warm
quiet jazz room vibe, piano, double bass, brushes, understated and tender
soft jazzhop groove, dusty Rhodes, bass guitar, loose drums, hazy and intimate
laid-back neo-soul mood, clean electric guitar, Wurlitzer, warm bass, smooth and calm
late-evening jazz trio, upright piano, upright bass, brushed kit, thoughtful and slow
mellow lounge soul, Rhodes, muted trumpet, bass guitar, cozy and smoky
gentle lo-fi instrumental, tape piano, upright bass, brushed snare, nostalgic and soft
warm soul-jazz groove, electric piano, clean guitar, soft drums, relaxed and golden
chill moonlit jazz, piano, upright bass, brushed ride, tender and elegant
dreamy neo-soul sketch, Rhodes, fretless bass, minimal drums, floating and warm
intimate lo-fi lounge, dusty keys, muted bass, light percussion, dim and reflective
soft rainy soul, Wurlitzer, nylon guitar, bass guitar, cozy and slow
mellow jazzhop texture, Rhodes, upright bass, dusty kit, smoky and smooth
gentle after-dark jazz, piano, brushed kit, double bass, calm and thoughtful
warm rooftop neo-soul, electric piano, muted guitar, round bass, airy and sleepy
chill instrumental groove, Rhodes, bass guitar, shaker, dreamy and understated
soft late-night jazz, upright piano, muted flugelhorn, upright bass, intimate and warm
mellow cassette soul, dusty electric piano, bass guitar, soft drums, nostalgic and hazy
gentle soul lounge, clean guitar, Rhodes chords, round bass, smooth and dimly lit
cozy evening jazzhop, Wurlitzer, muted bass, brushed snare, relaxed and soft
warm after-hours trio, piano, upright bass, brushes, elegant and unhurried
chill neo-soul drift, electric piano, soft synth pad, fretless bass, dreamy and tender
quiet jazz café mood, upright piano, double bass, light cymbals, rainy and calm
lo-fi soul pocket, Rhodes, muted guitar, bass guitar, mellow and intimate
soft night-drive jazz, electric piano, upright bass, brushed drums, floating and reflective
smoky soul-jazz instrumental, Hammond organ, clean guitar, bass guitar, warm and easy
gentle moonlight groove, Rhodes, upright bass, light percussion, airy and soft
mellow lo-fi jazz room, dusty piano, brushed kit, round bass, cozy and thoughtful
chill romantic soul, Wurlitzer, nylon guitar, bass guitar, tender and warm
soft brushed jazz, upright piano, upright bass, brushed snare, understated and elegant
dreamy jazzhop loop, Rhodes, muted trumpet, warm bass, hazy and late-night
warm neo-soul lounge, electric piano, clean guitar, soft drums, smooth and relaxed
quiet midnight trio, piano, upright bass, brushes, intimate and smoky
mellow city-lights soul, Rhodes, fretless bass, subtle pad, floating and calm
gentle lo-fi café groove, dusty keys, bass guitar, dusty drums, cozy and soft
chill sunset jazz, upright piano, muted flugelhorn, double bass, warm and reflective
soft downtempo soul, electric piano, tremolo guitar, round bass, dreamy and slow
warm jazzhop atmosphere, Rhodes, upright bass, brushed beat, nostalgic and intimate
laid-back lounge instrumental, Wurlitzer, bass guitar, soft congas, dim and mellow
gentle after-rain jazz, piano, upright bass, brushed ride, thoughtful and cozy
mellow soul-jazz pocket, Rhodes chords, clean guitar, muted bass, warm and understated
quiet smoky lounge, electric piano, upright bass, brushed kit, elegant and late-night
chill neo-soul texture, nylon guitar, Rhodes, bass guitar, tender and floating
soft vinyl jazz groove, dusty piano, upright bass, light cymbals, worn and warm
dreamy rooftop soul, Wurlitzer, clean guitar, bass guitar, airy and intimate
warm midnight jazzhop, Rhodes, muted bass, lo-fi drums, soft and hazy
gentle reflective jazz, upright piano, double bass, brushes, calm and graceful
mellow soul drift, electric piano, fretless bass, subtle percussion, sleepy and smooth
cozy lo-fi instrumental, dusty Rhodes, muted guitar, warm bass, nostalgic and dim
soft blue-hour jazz, piano, upright bass, brushed snare, tender and slow
chill lounge soul groove, Hammond organ, clean guitar, bass guitar, smoky and easy
warm neo-soul nightscape, electric piano, soft pad, round bass, dreamy and calm
quiet brushed trio, piano, upright bass, brushes, intimate and thoughtful
mellow urban jazz, Rhodes, muted trumpet, bass guitar, late-night and smooth
gentle café soul, Wurlitzer, nylon guitar, muted bass, cozy and warm
soft after-midnight groove, electric piano, upright bass, brushed kit, floating and reflective
dreamy lo-fi jazz, tape piano, round bass, soft drums, hazy and nostalgic
warm sunset soul-jazz, Rhodes, clean guitar, bass guitar, mellow and golden
chill rain-window jazz, upright piano, double bass, brushed ride, reflective and soft
mellow intimate lounge, Wurlitzer, muted flugelhorn, bass guitar, smoky and tender
gentle jazzhop beat, dusty electric piano, upright bass, soft snare, cozy and hazy
late-night neo-soul sketch, Rhodes, muted guitar, fretless bass, smooth and sleepy
soft jazz bar instrumental, piano, upright bass, brushes, dim and elegant
warm lo-fi soul groove, electric piano, clean guitar, round bass, calm and dreamy
quiet midnight soul, Hammond organ, bass guitar, light drums, tender and slow
mellow drift jazz, Rhodes chords, upright bass, brushed cymbals, airy and intimate
gentle nightfall groove, Wurlitzer, nylon guitar, muted bass, relaxed and warm
smoky jazzhop lounge, dusty piano, bass guitar, dusty drums, dim and reflective
chill candlelight soul, electric piano, tremolo guitar, warm bass, intimate and soft
warm rainy-evening jazz, upright piano, double bass, brushes, thoughtful and cozy
soft soul-jazz room, Rhodes, clean guitar, subtle percussion, mellow and understated
dreamy after-hours instrumental, electric piano, muted trumpet, bass guitar, floating and calm
quiet lo-fi trio, dusty piano, upright bass, brushed snare, nostalgic and tender
mellow velvet lounge, Wurlitzer, bass guitar, light cymbals, smoky and smooth
gentle rooftop jazzhop, Rhodes, muted bass, soft drum groove, hazy and airy
warm neo-soul breeze, clean guitar, electric piano, fretless bass, dreamy and easy
soft dim-lit jazz, upright piano, upright bass, brushed ride, elegant and slow
chill moonrise soul, Rhodes, nylon guitar, bass guitar, cozy and intimate
mellow cassette jazz, dusty keys, upright bass, loose drums, worn and warm
gentle afterglow groove, electric piano, soft synth pad, round bass, floating and tender
quiet lounge jazz, piano, muted flugelhorn, double bass, calm and smoky
warm bedroom soul instrumental, Wurlitzer, muted guitar, bass guitar, sleepy and soft
dreamy jazzhop nightfall, Rhodes, upright bass, brushed drums, late-night and reflective
soft city-rain soul, electric piano, clean guitar, warm bass, nostalgic and relaxed
mellow night-bloom jazz, piano, upright bass, light cymbals, intimate and graceful
chill downtempo neo-soul, Rhodes, tremolo guitar, muted bass, hazy and mellow

